% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 17.64    0.000395          15        25         1 openat
  9.42    0.000211           6        35           mmap
  8.80    0.000197          14        14           getdents64
  8.17    0.000183           4        43           futex
  8.08    0.000181          10        17           read
  6.21    0.000139          17         8           mprotect
  5.27    0.000118          23         5           munmap
  5.23    0.000117           5        21           close
  4.20    0.000094          11         8           pread64
  4.11    0.000092          92         1           clone3
  3.04    0.000068           4        15           ioctl
  2.19    0.000049           6         8           madvise
  2.05    0.000046           3        12           rt_sigaction
  1.92    0.000043           4        10           rt_sigprocmask
  1.83    0.000041           4         9           prlimit64
  1.34    0.000030          30         1           open
  1.21    0.000027          13         2           getcwd
  1.12    0.000025           6         4           timerfd_create
  1.03    0.000023           2         9           fstat
  0.89    0.000020          20         1           write
  0.80    0.000018           9         2         2 access
  0.71    0.000016           5         3           brk
  0.71    0.000016           5         3           epoll_ctl
  0.71    0.000016          16         1           epoll_create1
  0.49    0.000011           5         2           getrandom
  0.45    0.000010           5         2         1 prctl
  0.40    0.000009           4         2           timerfd_settime
  0.31    0.000007           7         1           sysinfo
  0.31    0.000007           7         1           eventfd2
  0.27    0.000006           3         2           gettid
  0.27    0.000006           6         1           sched_getaffinity
  0.22    0.000005           5         1           sched_yield
  0.18    0.000004           4         1           lseek
  0.13    0.000003           3         1           getpid
  0.13    0.000003           3         1           sigaltstack
  0.13    0.000003           3         1           close_range
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.002239           8       278         4 total
