% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 81.45    0.075275         187       402       201 wait4
 11.51    0.010641          52       201           fork
  2.02    0.001864           2       809           rt_sigprocmask
  1.22    0.001125           3       296           read
  1.02    0.000943           9       101           pipe
  0.93    0.000862           4       211           close
  0.78    0.000717           6       106           munmap
  0.58    0.000537           2       201           rt_sigreturn
  0.48    0.000445           3       131           mmap
  0.01    0.000005           5         1           write
  0.01    0.000005           0        23         1 fcntl
  0.00    0.000004           0         7           dup2
  0.00    0.000000           0         6           brk
  0.00    0.000000           0         8           mprotect
  0.00    0.000000           0        22           rt_sigaction
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         4         4 ioctl
  0.00    0.000000           0         1           writev
  0.00    0.000000           0        12         6 open
  0.00    0.000000           0         4           getpid
  0.00    0.000000           0        29        16 stat
  0.00    0.000000           0         4           lseek
  0.00    0.000000           0         9         6 execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         4           getppid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         6           faccessat2
------ ----------- ----------- --------- --------- ----------------
100.00    0.092423          35      2616       234 total
