% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.93    0.001838           3       593           munmap
 22.66    0.001098           1       659           mmap
 13.81    0.000669          11        58        19 open
  8.81    0.000427           3       108        12 stat
  3.69    0.000179          11        16           write
  2.99    0.000145           3        38           read
  2.66    0.000129           1        65           rt_sigaction
  2.62    0.000127           8        15           rename
  1.20    0.000058           1        54           fstat
  0.97    0.000047           1        42           close
  0.78    0.000038           0        41           fcntl
  0.66    0.000032           0        43         2 lseek
  0.39    0.000019           0        25        25 ioctl
  0.23    0.000011           0        17           getdents64
  0.21    0.000010           2         5           rt_sigprocmask
  0.14    0.000007           1         5         3 readlink
  0.10    0.000005           5         1           lstat
  0.04    0.000002           2         1           getrandom
  0.04    0.000002           1         2           getcwd
  0.02    0.000001           1         1           getegid
  0.02    0.000001           1         1           getuid
  0.02    0.000001           1         1           geteuid
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           readv
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         3           mprotect
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.004846           2      1805        61 total
