% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 18.10    0.000641           6       106        53 openat
 14.60    0.000517           1       295           mprotect
 10.78    0.000382           2       136           mmap
 10.05    0.000356           4        75           read
  8.30    0.000294           3        93        89 readlink
  5.93    0.000210           2        79        40 newfstatat
  3.53    0.000125           7        16         9 access
  3.05    0.000108           5        21         2 futex
  2.74    0.000097          13         7           stat
  2.43    0.000086           4        21           rt_sigaction
  2.23    0.000079          11         7           clone
  2.12    0.000075          75         1           bind
  2.09    0.000074           5        14           munmap
  1.86    0.000066           1        46           close
  1.47    0.000052          10         5         2 unlink
  1.38    0.000049           2        17           brk
  0.90    0.000032           2        16           pread64
  0.88    0.000031           1        18           fcntl
  0.79    0.000028           2        14           fstat
  0.73    0.000026           1        15           lseek
  0.71    0.000025           1        15           rt_sigprocmask
  0.71    0.000025           1        23           madvise
  0.59    0.000021           7         3           pipe2
  0.48    0.000017           5         3           statfs
  0.48    0.000017           8         2           mknodat
  0.40    0.000014           2         7         7 clone3
  0.37    0.000013           1         7           write
  0.31    0.000011           3         3         3 ioctl
  0.31    0.000011           1        10           prlimit64
  0.25    0.000009           1         6           getpid
  0.17    0.000006           6         1           memfd_create
  0.17    0.000006           1         4           membarrier
  0.14    0.000005           2         2           getsid
  0.14    0.000005           2         2           sigaltstack
  0.14    0.000005           0         6           getdents64
  0.11    0.000004           4         1           socket
  0.11    0.000004           1         4           sched_getaffinity
  0.08    0.000003           1         2           getcwd
  0.08    0.000003           1         2           gettid
  0.06    0.000002           2         1           listen
  0.06    0.000002           2         1           ftruncate
  0.06    0.000002           2         1           fchmod
  0.06    0.000002           1         2           sysinfo
  0.06    0.000002           2         1         1 get_mempolicy
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.003542           3      1117       206 total
