% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 19.05    0.000399           2       180           rt_sigprocmask
 19.01    0.000398          44         9         7 prctl
 10.89    0.000228           6        33        15 openat
  9.12    0.000191           5        37           mmap
  8.31    0.000174           5        32         1 futex
  7.69    0.000161           8        19           munmap
  4.25    0.000089           4        21           read
  3.58    0.000075           3        21        11 newfstatat
  3.15    0.000066           3        22           close
  2.63    0.000055          13         4           clone
  2.58    0.000054           5        10           mprotect
  2.01    0.000042          42         1           sysinfo
  1.19    0.000025           3         8           fcntl
  0.91    0.000019           3         6           rt_sigaction
  0.72    0.000015           7         2           lstat
  0.62    0.000013           3         4           brk
  0.57    0.000012           4         3           readlink
  0.48    0.000010           2         4         4 clone3
  0.38    0.000008           4         2           epoll_ctl
  0.38    0.000008           8         1           pipe2
  0.29    0.000006           3         2           prlimit64
  0.24    0.000005           5         1           write
  0.24    0.000005           2         2           lseek
  0.24    0.000005           2         2           pread64
  0.24    0.000005           5         1           epoll_create
  0.24    0.000005           5         1           timerfd_create
  0.19    0.000004           4         1           getcwd
  0.14    0.000003           3         1           fstat
  0.14    0.000003           3         1           sched_getaffinity
  0.14    0.000003           3         1           getrandom
  0.10    0.000002           2         1           arch_prctl
  0.10    0.000002           2         1           set_tid_address
  0.10    0.000002           2         1           set_robust_list
  0.10    0.000002           2         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.002094           4       438        39 total
