% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 21.12    0.001938          23        81           munmap
 16.81    0.001543         385         4           epoll_wait
  9.78    0.000898          17        52        26 openat
  9.57    0.000878          19        44           read
  8.95    0.000821          10        76           mmap
  7.18    0.000659         659         1           execve
  2.85    0.000262          13        19           mprotect
  2.73    0.000251          62         4           clone3
  2.19    0.000201           6        31           close
  2.05    0.000188           7        26           brk
  1.94    0.000178          35         5         2 mkdir
  1.87    0.000172          28         6           rt_sigaction
  1.42    0.000130           3        37           madvise
  1.34    0.000123           9        13           statx
  1.01    0.000093           5        17           fcntl
  0.99    0.000091          11         8           pwrite64
  0.88    0.000081          16         5         4 readlink
  0.83    0.000076           3        21           gettid
  0.75    0.000069           5        13           fstat
  0.75    0.000069           6        10         3 ioctl
  0.65    0.000060           7         8           futex
  0.46    0.000042           4         9           lseek
  0.40    0.000037           4         9           rt_sigprocmask
  0.38    0.000035           8         4           write
  0.33    0.000030          30         1           socketpair
  0.32    0.000029          29         1           rename
  0.27    0.000025           5         5           prlimit64
  0.25    0.000023           5         4           sched_getaffinity
  0.24    0.000022           5         4           pread64
  0.21    0.000019          19         1           epoll_create1
  0.20    0.000018           9         2           epoll_ctl
  0.19    0.000017           5         3           getrandom
  0.15    0.000014           4         3           sigaltstack
  0.13    0.000012          12         1           poll
  0.11    0.000010          10         1           eventfd2
  0.10    0.000009           9         1         1 access
  0.10    0.000009           9         1           fchmod
  0.09    0.000008           4         2           getpid
  0.09    0.000008           8         1           getcwd
  0.08    0.000007           7         1           uname
  0.08    0.000007           7         1         1 pkey_alloc
  0.05    0.000005           5         1           arch_prctl
  0.04    0.000004           4         1           set_tid_address
  0.04    0.000004           4         1           rseq
  0.03    0.000003           3         1           set_robust_list
------ ----------- ----------- --------- --------- ------------------
100.00    0.009178          16       540        37 total
