% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 17.12    0.001673           4       361       329 readlink
 13.23    0.001293           2       471           mmap
 13.12    0.001282           6       213           rt_sigprocmask
  7.52    0.000735         147         5           fork
  7.12    0.000696          14        47           clone
  6.29    0.000615           2       270           munmap
  5.95    0.000581          72         8         4 wait4
  5.83    0.000570         114         5         1 execve
  5.63    0.000550           8        67        10 open
  4.56    0.000446           7        59           mprotect
  4.17    0.000407           3       106         1 read
  2.22    0.000217           3        68         1 close
  1.33    0.000130           1        80           rt_sigaction
  1.11    0.000108          13         8           getdents64
  0.85    0.000083          83         1           write
  0.60    0.000059           6         9           lseek
  0.56    0.000055           2        22           fcntl
  0.38    0.000037           4         8           pipe
  0.36    0.000035           3        11           brk
  0.34    0.000033           5         6         2 stat
  0.21    0.000021           2        10           sched_getaffinity
  0.15    0.000015           7         2           memfd_create
  0.11    0.000011           2         4           fstat
  0.11    0.000011          11         1           socketpair
  0.10    0.000010           5         2           epoll_create1
  0.10    0.000010           2         4           arch_prctl
  0.09    0.000009           1         6           uname
  0.09    0.000009           3         3           epoll_ctl
  0.08    0.000008           4         2           timerfd_create
  0.08    0.000008           2         4           set_tid_address
  0.08    0.000008           1         5           getpid
  0.07    0.000007           3         2           clock_getres
  0.06    0.000006           1         4         4 ioctl
  0.06    0.000006           1         4           rt_sigreturn
  0.06    0.000006           3         2           getppid
  0.06    0.000006           3         2           ftruncate
  0.04    0.000004           2         2           prlimit64
  0.04    0.000004           2         2           getuid
  0.03    0.000003           3         1           madvise
  0.02    0.000002           2         1           membarrier
  0.01    0.000001           1         1           sigaltstack
------ ----------- ----------- --------- --------- ------------------
100.00    0.009770           5      1889       352 total
