% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 21.16    0.001524           4       361       329 readlink
 13.78    0.000992           2       483           mmap
 10.73    0.000773         257         3           fork
 10.17    0.000732           2       287           munmap
  9.90    0.000713          15        47           clone
  9.76    0.000703           3       204           rt_sigprocmask
  5.03    0.000362           5        66        10 open
  5.03    0.000362           3        98         1 read
  4.07    0.000293          73         4         2 wait4
  3.01    0.000217           3        57           mprotect
  2.12    0.000153           2        63         1 close
  1.74    0.000125          15         8           getdents64
  0.61    0.000044           4         9           lseek
  0.42    0.000030           1        19           fcntl
  0.29    0.000021           2        10           sched_getaffinity
  0.25    0.000018           3         6           uname
  0.22    0.000016          16         1           write
  0.21    0.000015           7         2           memfd_create
  0.17    0.000012           2         6           pipe
  0.15    0.000011          11         1           socketpair
  0.14    0.000010           1         9           brk
  0.14    0.000010           3         3           epoll_ctl
  0.12    0.000009           0        74           rt_sigaction
  0.12    0.000009           4         2           epoll_create1
  0.11    0.000008           4         2           timerfd_create
  0.10    0.000007           2         3           sched_yield
  0.08    0.000006           3         2           ftruncate
  0.07    0.000005           2         2           clock_getres
  0.07    0.000005           1         4           getpid
  0.07    0.000005           2         2           prlimit64
  0.07    0.000005           5         1           madvise
  0.04    0.000003           1         2         2 ioctl
  0.04    0.000003           0         4           fstat
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         2           rt_sigreturn
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         1           sigaltstack
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         4         2 stat
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         1           membarrier
------ ----------- ----------- --------- --------- ------------------
100.00    0.007201           3      1864       347 total
