% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 88.13    0.133154      133154         1           futex
 11.45    0.017305         786        22        11 wait4
  0.13    0.000194           3        52           mmap
  0.10    0.000152           3        49        31 openat
  0.05    0.000069           3        19           mprotect
  0.03    0.000049           1        46        24 newfstatat
  0.02    0.000036           1        35           read
  0.02    0.000029           0        41           close
  0.01    0.000015           1        11           clone
  0.01    0.000011           2         4           munmap
  0.01    0.000011           0        12           pread64
  0.01    0.000011           5         2           readlink
  0.01    0.000010          10         1           stat
  0.01    0.000010           1        10           brk
  0.01    0.000008           1         5           rt_sigprocmask
  0.00    0.000006           1         4         3 access
  0.00    0.000003           0         8           rt_sigaction
  0.00    0.000003           1         2           getpid
  0.00    0.000003           3         1         1 clone3
  0.00    0.000002           0         6         3 arch_prctl
  0.00    0.000002           0         3           set_tid_address
  0.00    0.000002           0         3           set_robust_list
  0.00    0.000002           0         5           prlimit64
  0.00    0.000002           0         3           getrandom
  0.00    0.000002           0         3           rseq
  0.00    0.000000           0        11           rt_sigreturn
  0.00    0.000000           0         2           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         7         4 execve
  0.00    0.000000           0         6           fcntl
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         2           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0        10           pipe2
  0.00    0.000000           0         3         2 faccessat2
------ ----------- ----------- --------- --------- ----------------
100.00    0.151091         383       394        79 total
