% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 36.02    0.000228           5        42           mmap
 13.59    0.000086           7        11         2 openat
  8.21    0.000052           5        10           mprotect
  7.58    0.000048           3        14           madvise
  5.69    0.000036           3        10           rt_sigaction
  4.27    0.000027           3         9           rt_sigprocmask
  3.32    0.000021           2         9           close
  3.00    0.000019           2         9           fstat
  2.69    0.000017          17         1           clone
  2.53    0.000016           2         6           read
  2.37    0.000015           3         4           clock_gettime
  1.74    0.000011           5         2           futex
  1.26    0.000008           8         1           write
  1.11    0.000007           7         1           munmap
  0.95    0.000006           2         3           brk
  0.95    0.000006           6         1           sysinfo
  0.95    0.000006           3         2           prlimit64
  0.63    0.000004           4         1           poll
  0.63    0.000004           4         1         1 ioctl
  0.63    0.000004           4         1           timerfd_create
  0.47    0.000003           3         1           arch_prctl
  0.47    0.000003           3         1           set_tid_address
  0.47    0.000003           3         1           set_robust_list
  0.47    0.000003           3         1           timerfd_settime
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.000633           4       144         4 total
