% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 25.20    0.001868          11       156           mmap
 17.56    0.001302          11       116        52 openat
 15.19    0.001126           3       363           futex
  6.48    0.000480          12        38           mprotect
  5.44    0.000403          10        39           read
  3.94    0.000292           4        66           close
  3.62    0.000268           4        55           fstat
  3.29    0.000244          14        17           munmap
  2.97    0.000220           7        28           brk
  2.14    0.000159           9        16        11 readlink
  2.09    0.000155          17         9         3 statx
  2.04    0.000151         151         1           clone
  1.47    0.000109          54         2           io_uring_setup
  1.40    0.000104           4        24        14 newfstatat
  0.77    0.000057           3        15         3 ioctl
  0.63    0.000047          11         4           pipe2
  0.59    0.000044           3        14           rt_sigprocmask
  0.54    0.000040           3        12           rt_sigaction
  0.54    0.000040          40         1           clone3
  0.31    0.000023           7         3           write
  0.30    0.000022          22         1           pwrite64
  0.30    0.000022           7         3         3 access
  0.28    0.000021           3         6           fcntl
  0.28    0.000021           2         8           epoll_pwait
  0.27    0.000020           5         4           prlimit64
  0.26    0.000019          19         1           wait4
  0.26    0.000019           6         3           eventfd2
  0.26    0.000019           3         6           getrandom
  0.22    0.000016           4         4         3 epoll_ctl
  0.19    0.000014          14         1           io_uring_enter
  0.16    0.000012           6         2           pread64
  0.15    0.000011           3         3           dup3
  0.13    0.000010           5         2         1 lseek
  0.12    0.000009           9         1           mincore
  0.11    0.000008           4         2           sigaltstack
  0.09    0.000007           7         1           epoll_create1
  0.08    0.000006           6         1           uname
  0.08    0.000006           6         1           faccessat2
  0.07    0.000005           5         1           set_robust_list
  0.05    0.000004           4         1           sched_getaffinity
  0.05    0.000004           4         1           rseq
  0.04    0.000003           3         1           arch_prctl
  0.04    0.000003           3         1           set_tid_address
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           readlinkat
------ ----------- ----------- --------- --------- ------------------
100.00    0.007413           7      1037        90 total
