% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 15.32    0.001277          17        72           munmap
 14.22    0.001186          23        50         3 futex
 12.57    0.001048           4       214           pread64
 11.84    0.000987           7       139           mmap
  9.05    0.000755          22        33           fstat
  6.80    0.000567           9        61           read
  4.98    0.000415           8        50           madvise
  4.03    0.000336           6        52        16 openat
  3.85    0.000321           4        79           mprotect
  2.60    0.000217           5        43           close
  2.12    0.000177           2        65           rt_sigaction
  1.79    0.000149          24         6           clone3
  1.67    0.000139           3        38         2 ioctl
  1.18    0.000098           3        28        14 fcntl
  1.07    0.000089           2        33           rt_sigprocmask
  0.98    0.000082           3        26           getpid
  0.67    0.000056           2        21           brk
  0.61    0.000051          25         2           io_uring_enter
  0.54    0.000045          11         4           io_uring_setup
  0.46    0.000038           3        12           capget
  0.35    0.000029           9         3           pipe2
  0.32    0.000027           2        11         7 newfstatat
  0.31    0.000026           2        12           getgid
  0.30    0.000025           2        12           getegid
  0.30    0.000025           2         9           prlimit64
  0.29    0.000024           2        12           getuid
  0.29    0.000024           2        12           geteuid
  0.24    0.000020          20         1           rseq
  0.22    0.000018           9         2           dup3
  0.19    0.000016           5         3           readlink
  0.14    0.000012           2         6           write
  0.14    0.000012           4         3           epoll_pwait
  0.08    0.000007           3         2           eventfd2
  0.08    0.000007           0         8           statx
  0.05    0.000004           4         1           uname
  0.05    0.000004           4         1           arch_prctl
  0.05    0.000004           4         1           sched_getaffinity
  0.05    0.000004           4         1           set_tid_address
  0.05    0.000004           2         2           epoll_create1
  0.04    0.000003           0         4         2 epoll_ctl
  0.04    0.000003           3         1           set_robust_list
  0.04    0.000003           3         1         1 pkey_alloc
  0.02    0.000002           2         1           getcwd
  0.02    0.000002           1         2           getrandom
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           gettid
  0.00    0.000000           0         1           readlinkat
------ ----------- ----------- --------- --------- ------------------
100.00    0.008338           7      1145        46 total
