% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.74    0.000596         596         1           execve
 16.41    0.000450          12        35        12 openat
 16.23    0.000445          14        31           mmap
 13.60    0.000373           5        67           rt_sigaction
  5.00    0.000137           6        21           fstat
  4.89    0.000134          26         5           mprotect
  4.78    0.000131           5        23           close
  4.19    0.000115          12         9           read
  2.26    0.000062          10         6         6 newfstatat
  1.64    0.000045          45         1           readlink
  1.09    0.000030           7         4           brk
  1.06    0.000029           7         4         1 ioctl
  0.98    0.000027          27         1           munmap
  0.98    0.000027           5         5           fcntl
  0.77    0.000021          21         1           write
  0.58    0.000016           4         4         3 lseek
  0.51    0.000014           7         2           pread64
  0.47    0.000013           4         3           getuid
  0.44    0.000012           4         3           getgid
  0.40    0.000011           3         3           geteuid
  0.40    0.000011           3         3           getegid
  0.33    0.000009           9         1         1 access
  0.22    0.000006           6         1           prlimit64
  0.22    0.000006           6         1           getrandom
  0.22    0.000006           6         1           rseq
  0.18    0.000005           5         1           set_robust_list
  0.15    0.000004           4         1           arch_prctl
  0.15    0.000004           4         1           futex
  0.11    0.000003           3         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.002742          11       240        23 total
