% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.88    0.000543          33        16           getdents64
 14.28    0.000390         390         1           execve
 13.14    0.000359          12        28           mmap
 12.08    0.000330           3       100        32 newfstatat
  8.05    0.000220           5        39         6 openat
  6.84    0.000187           2        66           rt_sigaction
  5.67    0.000155           4        33           close
  4.50    0.000123           3        40           read
  4.47    0.000122           2        53           fstat
  2.56    0.000070          11         6           mprotect
  1.46    0.000040           5         8           brk
  1.43    0.000039          19         2           munmap
  1.24    0.000034           0        41         3 lseek
  1.02    0.000028           1        22        15 ioctl
  0.81    0.000022          22         1           write
  0.33    0.000009           4         2           pread64
  0.33    0.000009           9         1         1 access
  0.26    0.000007           1         4           fcntl
  0.26    0.000007           7         1           futex
  0.22    0.000006           6         1           prlimit64
  0.22    0.000006           3         2           getrandom
  0.15    0.000004           4         1           rseq
  0.11    0.000003           1         3           getcwd
  0.11    0.000003           3         1           geteuid
  0.11    0.000003           3         1           getegid
  0.11    0.000003           3         1           arch_prctl
  0.11    0.000003           3         1           set_tid_address
  0.11    0.000003           3         1           set_robust_list
  0.07    0.000002           2         1           getuid
  0.07    0.000002           2         1           getgid
  0.00    0.000000           0         6         5 readlink
  0.00    0.000000           0         1           gettid
------ ----------- ----------- --------- --------- ----------------
100.00    0.002732           5       485        62 total
