% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 42.95    0.011406        1629         7         2 wait4
 21.35    0.005669          19       290           read
  7.94    0.002109          10       210           mmap
  5.94    0.001577           6       234        55 openat
  3.95    0.001048          69        15           munmap
  2.58    0.000686         228         3           execve
  2.54    0.000675           2       259           brk
  2.12    0.000564           3       179        25 newfstatat
  2.11    0.000560           2       189           close
  1.63    0.000432           2       205           fstat
  1.57    0.000418          10        41           mprotect
  1.46    0.000388         194         2           clone
  0.81    0.000215           1       113       113 readlink
  0.54    0.000143           4        30           rt_sigprocmask
  0.45    0.000119           3        34           rt_sigaction
  0.42    0.000112           1        62           lseek
  0.42    0.000111           1       106           getrusage
  0.15    0.000039           9         4           pipe2
  0.11    0.000029           7         4         1 faccessat2
  0.10    0.000027           2        11           prlimit64
  0.08    0.000020           5         4           futex
  0.07    0.000019           3         5           getpid
  0.07    0.000018          18         1           mkdir
  0.07    0.000018           6         3           clone3
  0.06    0.000017           4         4           getrandom
  0.05    0.000013           4         3           getppid
  0.05    0.000012           2         5         1 fcntl
  0.04    0.000011           1         6           pread64
  0.04    0.000011          11         1           dup2
  0.04    0.000010           5         2         1 ioctl
  0.03    0.000009           4         2           rt_sigreturn
  0.03    0.000008           2         4         3 access
  0.03    0.000007           7         1           write
  0.03    0.000007           2         3           getuid
  0.03    0.000007           2         3           geteuid
  0.03    0.000007           7         1           sched_getaffinity
  0.02    0.000005           5         1           getgid
  0.02    0.000005           5         1           getpgrp
  0.02    0.000004           1         3           uname
  0.02    0.000004           4         1           sigaltstack
  0.02    0.000004           1         3           arch_prctl
  0.02    0.000004           1         3           set_tid_address
  0.02    0.000004           1         3           set_robust_list
  0.01    0.000003           3         1           getegid
  0.01    0.000003           1         3           rseq
  0.00    0.000000           0         2           socket
  0.00    0.000000           0         2         2 connect
------ ----------- ----------- --------- --------- ------------------
100.00    0.026557          12      2069       203 total
