% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 17.21    0.001505           5       295       100 openat
 17.14    0.001499           3       386       386 readlink
  8.88    0.000777           2       271           read
  8.71    0.000762           9        84           mmap
  7.72    0.000675          10        65           munmap
  6.29    0.000550           2       195           close
  5.84    0.000511           3       163        16 newfstatat
  5.57    0.000487          11        44           mprotect
  5.03    0.000440           2       196           fstat
  3.28    0.000287          11        26           getdents64
  2.58    0.000226           1       122       119 ioctl
  2.05    0.000179           2        72           fcntl
  1.67    0.000146           2        73           clock_gettime
  1.22    0.000107           2        46           getegid
  1.20    0.000105           2        46           geteuid
  1.18    0.000103           2        45           getgid
  1.14    0.000100           2        45           getuid
  0.70    0.000061           0        72           lseek
  0.67    0.000059           2        22           brk
  0.57    0.000050           2        17           rt_sigaction
  0.18    0.000016           5         3           prlimit64
  0.16    0.000014           7         2           getrandom
  0.14    0.000012           3         4           getcwd
  0.11    0.000010          10         1           writev
  0.10    0.000009           4         2           pread64
  0.10    0.000009           4         2         1 sigaltstack
  0.09    0.000008           8         1           prctl
  0.07    0.000006           6         1           futex
  0.06    0.000005           1         5           rt_sigprocmask
  0.06    0.000005           5         1           gettid
  0.06    0.000005           5         1           sched_getaffinity
  0.06    0.000005           5         1           rseq
  0.05    0.000004           4         1           write
  0.03    0.000003           3         1           arch_prctl
  0.03    0.000003           3         1           set_tid_address
  0.03    0.000003           3         1           set_robust_list
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.008746           3      2319       623 total
