% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 96.57    0.118378        6963        17         7 wait4
  0.77    0.000949          94        10           clone
  0.71    0.000873          87        10         8 execve
  0.33    0.000400           8        48           mmap
  0.31    0.000376           7        53        24 newfstatat
  0.27    0.000334           3       110           rt_sigprocmask
  0.25    0.000304           4        64        24 openat
  0.12    0.000143           2        56         6 close
  0.11    0.000140           7        19           read
  0.09    0.000105           2        39           fstat
  0.07    0.000084           2        31           rt_sigaction
  0.06    0.000071           8         8         2 access
  0.05    0.000060           8         7           mprotect
  0.03    0.000033           6         5           pipe2
  0.02    0.000026           3         7           brk
  0.02    0.000026          13         2           getdents64
  0.02    0.000024           2         9           lseek
  0.02    0.000023           3         7           getegid
  0.02    0.000022           3         7         1 ioctl
  0.02    0.000022           3         7           getuid
  0.02    0.000022           3         7           getgid
  0.02    0.000022           3         7           geteuid
  0.02    0.000020           5         4           pread64
  0.01    0.000018           9         2           munmap
  0.01    0.000017           2         7           rt_sigreturn
  0.01    0.000013           2         6         1 fcntl
  0.01    0.000010           2         4           prlimit64
  0.01    0.000009           4         2           rseq
  0.01    0.000008           2         3           getpid
  0.01    0.000008           2         3           getppid
  0.01    0.000008           4         2           arch_prctl
  0.01    0.000008           4         2           set_tid_address
  0.00    0.000006           3         2           set_robust_list
  0.00    0.000005           5         1           dup2
  0.00    0.000004           2         2           getrandom
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           getpgrp
  0.00    0.000003           1         2           futex
------ ----------- ----------- --------- --------- ----------------
100.00    0.122580         213       574        73 total
