% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 46.20    0.000389           7        51           mmap
 18.41    0.000155           6        24           read
 14.13    0.000119           5        22         6 openat
  5.94    0.000050           3        16           close
  5.58    0.000047           2        21           mprotect
  4.28    0.000036           2        15           fstat
  2.14    0.000018          18         1           write
  0.71    0.000006           3         2           pread64
  0.71    0.000006           6         1           sched_getaffinity
  0.48    0.000004           4         1           arch_prctl
  0.36    0.000003           1         2           gettid
  0.36    0.000003           3         1           set_tid_address
  0.36    0.000003           3         1           set_robust_list
  0.36    0.000003           3         1           rseq
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        14           rt_sigaction
  0.00    0.000000           0         3           ioctl
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         4         2 newfstatat
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         4           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.000842           4       194         9 total
